sample.name	subject.ID	sample.type	file.name
c1	c1	Germline	<wig.file.path>/cnv.simulated.sorted.dedup.bam.coverage.wig
c2	c2	Germline	<wig.file.path>/cnv2.simulated.sorted.dedup.bam.coverage.wig
n1	n1	Germline	<wig.file.path>/simulated1.sorted.dedup.bam.coverage.wig
n10	n10	Germline	<wig.file.path>/simulated10.sorted.dedup.bam.coverage.wig
n2	n2	Germline	<wig.file.path>/simulated2.sorted.dedup.bam.coverage.wig
n3	n3	Germline	<wig.file.path>/simulated3.sorted.dedup.bam.coverage.wig
n4	n4	Germline	<wig.file.path>/simulated4.sorted.dedup.bam.coverage.wig
n5	n5	Germline	<wig.file.path>/simulated5.sorted.dedup.bam.coverage.wig
n6	n6	Germline	<wig.file.path>/simulated6.sorted.dedup.bam.coverage.wig
n7	n7	Germline	<wig.file.path>/simulated7.sorted.dedup.bam.coverage.wig
n8	n8	Germline	<wig.file.path>/simulated8.sorted.dedup.bam.coverage.wig
n9	n9	Germline	<wig.file.path>/simulated9.sorted.dedup.bam.coverage.wig
